molregno,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,full_mwt,alogp,hba,hbd,rtb,psa,assay_type,assay_description
109133,c1coc(-c2nc3ccccc3nc2-c2ccco2)c1,IC50,100000.0,nM,,active,262.27,4.15,4.0,0.0,2.0,52.06,F,"PUBCHEM_BIOASSAY: Primary and Confirmatory Screening for Flavivirus Genomic Capping Enzyme Inhibition. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID588708, AID588742]"
1110983,Cc1cc(=O)c2c(o1)C(=O)c1occc1C2=O,IC50,62390.0,nM,,active,230.18,1.32,5.0,0.0,0.0,77.49,F,"PUBCHEM_BIOASSAY: Primary and Confirmatory Screening for Flavivirus Genomic Capping Enzyme Inhibition. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID588708, AID588742]"
915990,CC(C)OP(=O)(OC(C)C)C1(NS(=O)(=O)c2ccc(Cl)cc2)C=C(Cl)C(=O)C(Cl)=C1,IC50,99280.0,nM,,active,516.77,5.19,6.0,1.0,8.0,98.77,F,"PUBCHEM_BIOASSAY: Primary and Confirmatory Screening for Flavivirus Genomic Capping Enzyme Inhibition. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID588708, AID588742]"
1218280,O=C(O)c1ccc(NC2=C/C(=N/S(=O)(=O)c3cccs3)c3ccccc3C2=O)cc1,IC50,58090.0,nM,,active,438.49,3.82,6.0,2.0,5.0,112.9,F,"PUBCHEM_BIOASSAY: Primary and Confirmatory Screening for Flavivirus Genomic Capping Enzyme Inhibition. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID588708, AID588742]"
1110831,O=C1C=CC2=C3c4cc(O)c(O)cc4CC3(O)COC2=C1O,IC50,26520.0,nM,,active,300.27,1.08,6.0,4.0,0.0,107.22,F,"PUBCHEM_BIOASSAY: Primary and Confirmatory Screening for Flavivirus Genomic Capping Enzyme Inhibition. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID588708, AID588742]"
1684725,COc1c(OC(C)=O)ccc(/C=N\NC(=O)c2ccc(Br)cc2)c1[N+](=O)[O-],IC50,96500.0,nM,,active,436.22,3.06,7.0,1.0,6.0,120.13,F,"PUBCHEM_BIOASSAY: Primary and Confirmatory Screening for Flavivirus Genomic Capping Enzyme Inhibition. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID588708, AID588742]"
1029263,CCc1ccc(N2C(=O)c3sc4nnc(-c5ccccc5)c(=O)n4c3C2=O)cc1,IC50,48530.0,nM,,active,402.44,3.18,7.0,0.0,3.0,84.64,F,"PUBCHEM_BIOASSAY: Primary and Confirmatory Screening for Flavivirus Genomic Capping Enzyme Inhibition. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID588708, AID588742]"
864861,NNc1cc([N+](=O)[O-])cc2c1c(=O)n(Cc1ccccc1)[s+]2[O-],IC50,63370.0,nM,,active,332.34,1.97,7.0,2.0,4.0,126.25,F,"PUBCHEM_BIOASSAY: Primary and Confirmatory Screening for Flavivirus Genomic Capping Enzyme Inhibition. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID588708, AID588742]"
1021311,CCOc1cc(CNc2ccc(N3CCCC3)cc2)cc(Cl)c1OC,IC50,48200.0,nM,,active,360.89,4.96,4.0,1.0,7.0,33.73,F,"PUBCHEM_BIOASSAY: Primary and Confirmatory Screening for Flavivirus Genomic Capping Enzyme Inhibition. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID588708, AID588742]"
854043,COc1ccc(C(C2C(=O)CC(C)(C)CC2=O)C2C(=O)CC(C)(C)CC2=O)cc1CO,IC50,45800.0,nM,,active,428.53,3.42,6.0,1.0,5.0,97.74,F,"PUBCHEM_BIOASSAY: Primary and Confirmatory Screening for Flavivirus Genomic Capping Enzyme Inhibition. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID588708, AID588742]"
1685698,Cn1c(/N=C/c2c(O)ccc3ccccc23)nc2ccccc21,IC50,9600.0,nM,,active,301.35,4.18,4.0,1.0,2.0,50.41,F,"PUBCHEM_BIOASSAY: Primary and Confirmatory Screening for Flavivirus Genomic Capping Enzyme Inhibition. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID588708, AID588742]"
932482,CCOc1cc(/C=C2\C(=O)ON=C2c2ccccc2)ccc1OC,IC50,27120.0,nM,,active,323.35,3.44,5.0,0.0,5.0,57.12,F,"PUBCHEM_BIOASSAY: Primary and Confirmatory Screening for Flavivirus Genomic Capping Enzyme Inhibition. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID588708, AID588742]"
513362,Cn1c(=O)c2[nH]c(-c3ccccc3)c(O)c2n(C)c1=O,IC50,18500.0,nM,,active,271.28,0.94,5.0,2.0,1.0,80.02,F,"PUBCHEM_BIOASSAY: Primary and Confirmatory Screening for Flavivirus Genomic Capping Enzyme Inhibition. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID588708, AID588742]"
798462,O=C(O)c1ccccc1C(=O)c1ccc(Sc2ccc(Cl)cc2)c([N+](=O)[O-])c1,IC50,35090.0,nM,,active,413.84,5.33,5.0,1.0,6.0,97.51,F,"PUBCHEM_BIOASSAY: Primary and Confirmatory Screening for Flavivirus Genomic Capping Enzyme Inhibition. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID588708, AID588742]"
971599,O=C1NC(=O)C(=Cc2ccc3ccccc3c2)C(=O)N1,IC50,50800.0,nM,,active,266.26,1.59,3.0,2.0,1.0,75.27,F,"PUBCHEM_BIOASSAY: Primary and Confirmatory Screening for Flavivirus Genomic Capping Enzyme Inhibition. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID588708, AID588742]"
