bit_index,mean_abs_shap
547,0.00010090946331756886
302,9.9852387814362e-05
975,9.928940480090313e-05
1027,9.892043639178825e-05
636,9.84696376968236e-05
1234,9.826193605564155e-05
1485,9.802117060296259e-05
2006,9.780537067768428e-05
1814,9.674494221307427e-05
40,9.60732658492245e-05
418,9.59882775475897e-05
1495,9.565503859020245e-05
1050,9.516012486586582e-05
1274,9.376558337242252e-05
344,9.364650363512108e-05
510,9.344004160468678e-05
1387,9.341438182730359e-05
170,9.318709860976182e-05
1009,9.302291649905786e-05
1333,9.302193326401406e-05
1920,9.253957582886334e-05
495,9.246238634533587e-05
995,9.240281409811812e-05
830,9.162629553912417e-05
1299,9.131580576459902e-05
60,9.122892473538003e-05
1119,9.12210420141193e-05
1894,9.114020781715187e-05
441,9.113940652609241e-05
1089,9.068576290372636e-05
1730,9.032944786990636e-05
1420,8.988616585092478e-05
1282,8.926854037747313e-05
1444,8.881403925481577e-05
1504,8.841332337644159e-05
1432,8.783400112055426e-05
265,8.765192817926856e-05
1063,8.742630950577672e-05
328,8.734930616532843e-05
198,8.731711619975218e-05
1872,8.698202192258949e-05
458,8.690931786885079e-05
845,8.679814759605539e-05
753,8.633825609578921e-05
1474,8.593795235412014e-05
173,8.592815104909043e-05
1542,8.584011107179005e-05
23,8.572043981801439e-05
151,8.568755537563228e-05
1676,8.50396878211672e-05
594,8.496401001990118e-05
535,8.488529479964352e-05
13,8.48064567185657e-05
336,8.44672988394552e-05
1705,8.406005837520322e-05
1736,8.405901395810345e-05
1892,8.370642636305435e-05
850,8.363201636843455e-05
1249,8.285599919361934e-05
591,8.280872608556091e-05
548,8.242653927189034e-05
1408,8.200868644511595e-05
1519,8.187585896757678e-05
878,8.167785295691094e-05
65,8.070453437316962e-05
1445,8.033193901643737e-05
325,8.029015101512616e-05
692,7.995599267896914e-05
961,7.981597826545269e-05
1284,7.933362480651895e-05
940,7.915570887249157e-05
1255,7.907596935280595e-05
9,7.851433947705291e-05
278,7.818273181742155e-05
479,7.802778767244169e-05
217,7.784932273706787e-05
1923,7.69020281383002e-05
1934,7.569956467531095e-05
610,7.549291562234621e-05
1924,7.545402795510248e-05
749,7.535356982256932e-05
832,7.532979807270883e-05
1187,7.454076162000034e-05
1138,7.433568217990955e-05
1998,7.35745950732553e-05
1214,7.347103212088896e-05
1440,7.33378396718234e-05
497,7.280310452828832e-05
1312,7.173791316463667e-05
1647,7.157921023347702e-05
446,7.138781860611101e-05
62,7.101582709987024e-05
1685,7.063309389366646e-05
1649,7.034938924408702e-05
1222,7.022215802894947e-05
1421,6.921015957449667e-05
106,6.91333085478436e-05
1532,6.863765659591952e-05
475,6.794465744529002e-05
710,6.766849518321436e-05
429,6.764735191792237e-05
910,6.762033292517532e-05
1752,6.721616500540206e-05
83,6.700532180781191e-05
637,6.549001331028966e-05
